"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","0","4","","0"
"0","IA & GenAI","0","Self-Healing de API","1","0","Correção dinâmica de Payload no 400 Bad Request","0"
"0","Backend & APIs","1","Core de Seguros (CRUD de Propostas)","0","0","Criação de Proposta","0"
"0","Backend & APIs","0","Validação de CPF (Service Virtualization)","1","0","Caminho de Exceção - CPF Inválido","0"
"0","Backend & APIs","0","Core de Seguros (CRUD de Propostas)","1","0","Consulta de Proposta","0"
"0","Engenharia de Confiabilidade (SRE)","0","Mecanismo de Autorrecuperação","1","0","Sobrevivência a Flaky Network","0"
"0","Backend & APIs","0","Validação de CPF (Service Virtualization)","1","0","Caminho Feliz - CPF Regular","0"
"0","Frontend Web","0","Tela de Consulta de CPF","0","1","Renderização da Home Page","0"
